,ID,Accident Severity,Date,Year,Day,Time,Longitude,Latitude,Number of Vehicles,Number of Casualties,Speed Limit,Junction Detail,Junction Control,Road Type,Light Conditions,Weather Conditions,Road Surface Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Type,Engine Capacity (cc),Junction Location,Age of Vehicle
55,200801WW70000,Fatal,2008-01-16,2008,Wednesday,11:58:00,-0.145974,51.477598,2,1,30,Not at junction or within 20 metres,Data missing or out of range,Single carriageway,Daylight,Fine no high winds,Dry,Male,36,36 - 45,1,Male,36,36 - 45,Pedal cycle,Data missing or out of range,Not at or within 20 metres of junction,-1
56,200901TA00031,Fatal,2009-04-09,2009,Thursday,09:20:00,-0.098427,51.523149,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Female,30,26 - 35,2,Male,34,26 - 35,Other vehicle,11946,Mid Junction - on roundabout or on main road,2
57,200901TA00126,Fatal,2009-10-20,2009,Tuesday,08:20:00,-0.118881,51.509541,2,1,30,T or staggered junction,Auto traffic signal,Dual carriageway,Daylight,Fine no high winds,Dry,Female,33,26 - 35,2,Male,44,36 - 45,Motorcycle over 500cc,1170,Mid Junction - on roundabout or on main road,4
58,200901TB00089,Fatal,2009-06-12,2009,Friday,18:40:00,-0.10758599999999999,51.517812,2,1,30,Roundabout,Auto traffic signal,Roundabout,Daylight,Fine no high winds,Dry,Female,24,21 - 25,2,Male,Data missing or out of range,Data missing or out of range,Goods 7.5 tonnes mgw and over,8300,Mid Junction - on roundabout or on main road,10
59,200901TB00207,Fatal,2009-11-11,2009,Wednesday,23:04:00,-0.120941,51.519016,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Female,22,21 - 25,2,Female,23,21 - 25,Bus or coach (17 or more pass seats),7300,Cleared junction or waiting/parked at junction exit,5
60,200901TC00237,Fatal,2009-09-16,2009,Wednesday,06:30:00,-0.062876,51.518431,2,1,30,T or staggered junction,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Female,26,26 - 35,2,Male,61,56 - 65,Goods over 3.5t. and under 7.5t,4461,Mid Junction - on roundabout or on main road,1
61,200901TD00051,Fatal,2009-04-08,2009,Wednesday,14:53:00,-0.100439,51.495574,2,1,30,Roundabout,Give way or uncontrolled,Roundabout,Daylight,Fine no high winds,Dry,Female,37,36 - 45,2,Male,44,36 - 45,Goods 7.5 tonnes mgw and over,Data missing or out of range,Leaving roundabout,-1
62,200901TD00156,Fatal,2009-06-29,2009,Monday,08:28:00,-0.112532,51.481831,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Female,39,36 - 45,1,Female,39,36 - 45,Pedal cycle,Data missing or out of range,Mid Junction - on roundabout or on main road,-1
63,201001TA00002,Fatal,2010-01-08,2010,Friday,09:00:00,-0.095059,51.527861,2,1,30,T or staggered junction,Give way or uncontrolled,Single carriageway,Daylight,Fine no high winds,Frost or ice,Male,51,46 - 55,2,Male,64,56 - 65,Car,5462,Mid Junction - on roundabout or on main road,2
64,201001TA00042,Fatal,2010-04-14,2010,Wednesday,13:00:00,-0.132154,51.516228000000005,2,1,30,Not at junction or within 20 metres,Data missing or out of range,Single carriageway,Daylight,Fine no high winds,Dry,Female,25,21 - 25,2,Male,60,56 - 65,Bus or coach (17 or more pass seats),7300,Not at or within 20 metres of junction,6
65,201001TA00102,Fatal,2010-05-22,2010,Saturday,11:25:00,-0.131381,51.489327,2,1,30,T or staggered junction,Auto traffic signal,Dual carriageway,Daylight,Fine no high winds,Dry,Male,48,46 - 55,2,Male,45,36 - 45,Other vehicle,12900,Mid Junction - on roundabout or on main road,3
66,201001TD00039,Fatal,2010-02-09,2010,Tuesday,09:36:00,-0.078306,51.501149,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Male,46,46 - 55,2,Male,44,36 - 45,Goods 7.5 tonnes mgw and over,Data missing or out of range,Mid Junction - on roundabout or on main road,-1
67,201001TD00073,Fatal,2010-03-09,2010,Tuesday,09:42:00,-0.08576,51.50208,2,1,30,Crossroads,Give way or uncontrolled,Single carriageway,Daylight,Fine no high winds,Dry,Male,21,21 - 25,1,Male,21,21 - 25,Pedal cycle,Data missing or out of range,Mid Junction - on roundabout or on main road,-1
68,201101TD00060,Fatal,2011-03-22,2011,Tuesday,13:20:00,-0.074449,51.500366,2,1,30,T or staggered junction,Give way or uncontrolled,Single carriageway,Daylight,Fine no high winds,Dry,Male,20,16 - 20,2,Male,44,36 - 45,Other vehicle,6692,Mid Junction - on roundabout or on main road,3
69,201101TD00115,Fatal,2011-06-21,2011,Tuesday,08:30:00,-0.061296,51.531894,2,1,30,T or staggered junction,Give way or uncontrolled,Single carriageway,Daylight,Fine no high winds,Dry,Male,44,36 - 45,2,Male,52,46 - 55,Goods 7.5 tonnes mgw and over,12580,Mid Junction - on roundabout or on main road,5
70,201101TD00168,Fatal,2011-10-03,2011,Monday,11:42:00,-0.122625,51.530644,2,1,30,Crossroads,Auto traffic signal,Dual carriageway,Daylight,Fine no high winds,Dry,Female,24,21 - 25,1,Female,24,21 - 25,Pedal cycle,Data missing or out of range,Mid Junction - on roundabout or on main road,-1
71,201101TD00198,Fatal,2011-12-02,2011,Friday,10:07:00,-0.079897,51.497578000000004,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Female,22,21 - 25,2,Male,31,26 - 35,Goods 7.5 tonnes mgw and over,6692,Mid Junction - on roundabout or on main road,1
72,201201CP00045,Fatal,2012-02-03,2012,Friday,13:05:00,-0.081715,51.516042999999996,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Male,61,56 - 65,2,Male,51,46 - 55,Bus or coach (17 or more pass seats),9000,Mid Junction - on roundabout or on main road,2
73,201301CP00228,Fatal,2013-09-15,2013,Sunday,07:55:00,-0.076917,51.513627,2,1,30,Roundabout,Auto traffic signal,One way street,Daylight,Fine no high winds,Dry,Female,21,21 - 25,2,Male,45,36 - 45,Other vehicle,Data missing or out of range,Approaching junction or waiting/parked at junction approach,-1
74,201301TD00037,Fatal,2013-04-08,2013,Monday,08:25:00,-0.139283,51.496916999999996,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Female,35,26 - 35,2,Male,50,46 - 55,Goods 7.5 tonnes mgw and over,12900,Entering main road,5
75,201301TD00074,Fatal,2013-07-05,2013,Friday,19:18:00,-0.072243,51.515079,2,1,30,T or staggered junction,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Female,20,16 - 20,2,Male,48,46 - 55,Goods 7.5 tonnes mgw and over,12900,Approaching junction or waiting/parked at junction approach,1
