,type,ID,Date&Time,Severity,Casualties,# of Casualties,# of Vehicles,Latitude,Longitude,Coordinates
46,Feature,199901CP00367,"5:20pm, 13th September 1999",slight,Cyclist,1,2,51.518618,-0.101787,"[-0.101782, 51.518604]"
47,Feature,199901CP00368,"6:00pm, 14th September 1999",slight,Cyclist,1,2,51.517367,-0.107892,"[-0.107871, 51.517387]"
48,Feature,199901CP00374,"3:10pm, 24th September 1999",slight,Cyclist,1,2,51.512116,-0.094563,"[-0.094564, 51.512139]"
49,Feature,199901CP00377,"6:32pm, 13th September 1999",serious,Cyclist,1,2,51.515757,-0.097293,"[-0.097268, 51.515743]"
50,Feature,199901CP00380,"5:45pm, 21st September 1999",slight,Cyclist,1,2,51.515487,-0.097305,"[-0.097286, 51.51551]"
51,Feature,199901CP00399,"7:45am, 7th October 1999",slight,Cyclist,1,1,51.512374,-0.093831,"[-0.093849, 51.512352]"
52,Feature,199901CP00404,"8:00am, 27th October 1999",slight,Cyclist,1,2,51.513956,-0.102701,"[-0.102723, 51.513937]"
53,Feature,199901CP00440,"6:05pm, 16th November 1999",slight,Cyclist,1,2,51.513744,-0.100692,"[-0.100683, 51.513719]"
54,Feature,199901CP00466,"1:30pm, 3rd December 1999",slight,Cyclist,1,2,51.516567,-0.102881,"[-0.102903, 51.516593]"
55,Feature,199901CP00469,"4:00pm, 3rd December 1999",slight,Cyclist,1,2,51.517838,-0.10917,"[-0.109188, 51.517811]"
56,Feature,199901CP09017,"4:30pm, 10th December 1999",slight,Cyclist,1,2,51.512381,-0.094263,"[-0.09426, 51.512366]"
57,Feature,199901CX00075,"5:40pm, 11th March 1999",slight,Cyclist,1,2,51.513055,-0.119313,"[-0.119307, 51.513055]"
58,Feature,199901CX00089,"9:45pm, 17th March 1999",slight,Cyclist,1,2,51.513755,-0.123752,"[-0.123755, 51.513738]"
59,Feature,199901CX00170,"4:40pm, 14th May 1999",slight,Cyclist,1,2,51.512513,-0.130432,"[-0.13044, 51.5125]"
60,Feature,199901CX00178,"3:35pm, 28th May 1999",slight,Cyclist,1,2,51.513751,-0.117843,"[-0.11785, 51.513734]"
61,Feature,199901CX00224,"12:15pm, 30th June 1999",slight,Cyclist,1,2,51.513573,-0.123615,"[-0.123634, 51.51359]"
62,Feature,199901CX00230,"11:45am, 2nd July 1999",slight,Cyclist,1,2,51.513299,-0.128959,"[-0.128985, 51.513316]"
63,Feature,199901CX00250,"4:22am, 18th July 1999",slight,Cyclist,1,2,51.511716,-0.119944,"[-0.119951, 51.511695]"
64,Feature,199901CX00280,"1:30pm, 4th August 1999",slight,Cyclist,1,2,51.511645,-0.126721,"[-0.126733, 51.511671]"
65,Feature,199901CX00320,"10:50am, 6th September 1999",slight,Cyclist,1,2,51.512686,-0.129993,"[-0.130009, 51.512686]"
66,Feature,199901CX00325,"6:10pm, 9th September 1999",slight,Cyclist,1,2,51.512372,-0.116026,"[-0.116035, 51.512368]"
