,index,properties.accident.id,properties.accident.accident_year,properties.accident.date,properties.accident.day_of_week,properties.accident.time,properties.accident.speed_limit,properties.accident.junction_detail,properties.accident.junction_control,properties.accident.longitude,properties.accident.latitude,properties.accident.accident_severity,properties.casualties.1.sex_of_casualty,properties.casualties.1.age_of_casualty,properties.casualties.1.age_band_of_casualty,properties.casualties.1.vehicle_reference,properties.vehicles.1.sex_of_driver,properties.vehicles.1.age_of_driver,properties.vehicles.1.age_band_of_driver,properties.vehicles.1.vehicle_reference,properties.vehicles.1.vehicle_type,properties.vehicles.1.junction_location,properties.labels.accident.speed_limit,properties.labels.accident.junction_detail,properties.labels.accident.junction_control,properties.labels.accident.road_type,properties.labels.accident.road_surface_conditions,properties.labels.accident.light_conditions,properties.labels.accident.weather_conditions,properties.labels.casualties.sex_of_casualty,properties.labels.casualties.age_of_casualty,properties.labels.casualties.age_band_of_casualty,properties.labels.casualties.vehicle_reference,properties.labels.vehicles.sex_of_driver,properties.labels.vehicles.age_of_driver,properties.labels.vehicles.age_band_of_driver,properties.labels.vehicles.vehicle_reference,properties.labels.vehicles.vehicle_type,properties.labels.vehicles.generic_make_model,properties.labels.vehicles.junction_location
25,0,200301LX00143,2003,2003-01-27,Monday,08:05:00,30,Crossroads,Auto traffic signal,-0.125394,51.484285,Fatal,Female,50,46 - 55,1,Female,50,46 - 55,1,Pedal cycle,Data missing or out of range,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
26,0,200301LX00865,2003,2003-05-20,Tuesday,09:40:00,30,Crossroads,Auto traffic signal,-0.10967,51.502288,Fatal,Female,48,46 - 55,2,Male,23,21 - 25,1,Goods 7.5 tonnes mgw and over,Data missing or out of range,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
27,0,200301MM00399,2003,2003-03-28,Friday,10:38:00,30,Crossroads,Auto traffic signal,-0.078162,51.501147,Fatal,Female,21,21 - 25,2,Male,29,26 - 35,1,Goods 7.5 tonnes mgw and over,Data missing or out of range,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
28,0,200301TA00195,2003,2003-07-29,Tuesday,13:05:00,30,T or staggered junction,Auto traffic signal,-0.104426,51.53143,Fatal,Female,26,26 - 35,2,Male,52,46 - 55,1,Goods 7.5 tonnes mgw and over,Data missing or out of range,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
29,0,200301TA00492,2003,2003-11-25,Tuesday,20:43:00,30,Crossroads,Auto traffic signal,-0.165704,51.520624,Fatal,Male,34,26 - 35,2,Male,37,36 - 45,1,Goods over 3.5t. and under 7.5t,Data missing or out of range,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
30,0,200301TC00308,2003,2003-07-08,Tuesday,17:05:00,30,T or staggered junction,Auto traffic signal,-0.088048,51.526578,Fatal,Female,29,26 - 35,2,Male,67,66 - 75,1,Goods 7.5 tonnes mgw and over,Data missing or out of range,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
31,0,200301TE00510,2003,2003-09-25,Thursday,21:35:00,30,Other junction,Auto traffic signal,-0.110691,51.481082,Fatal,Male,26,26 - 35,2,Male,28,26 - 35,1,Car (including private hire cars) (1979-2004),Data missing or out of range,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
32,0,200401CP00029,2004,2004-02-23,Monday,09:02:00,30,Crossroads,Auto traffic signal,-0.093031,51.510832,Fatal,Male,27,26 - 35,2,Male,Data missing or out of range,Data missing or out of range,1,Goods 7.5 tonnes mgw and over,Data missing or out of range,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
33,0,200401CP00092,2004,2004-05-10,Monday,17:38:00,30,Not at junction or within 20 metres,Data missing or out of range,-0.104453,51.509938,Fatal,Female,37,36 - 45,2,Male,21,21 - 25,1,Bus or coach (17 or more pass seats),Data missing or out of range,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
34,0,200501CP00085,2005,2005-05-18,Wednesday,18:30:00,30,T or staggered junction,Give way or uncontrolled,-0.097293,51.515757,Fatal,Male,40,36 - 45,1,Male,40,36 - 45,1,Motorcycle over 500cc,Cleared junction or waiting/parked at junction exit,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
