,index,properties.accident.id,properties.accident.accident_year,properties.accident.date,properties.accident.day_of_week,properties.accident.time,properties.accident.speed_limit,properties.accident.junction_detail,properties.accident.junction_control,properties.accident.longitude,properties.accident.latitude,properties.accident.accident_severity,properties.casualties.1.sex_of_casualty,properties.casualties.1.age_of_casualty,properties.casualties.1.age_band_of_casualty,properties.casualties.1.vehicle_reference,properties.vehicles.1.sex_of_driver,properties.vehicles.1.age_of_driver,properties.vehicles.1.age_band_of_driver,properties.vehicles.1.vehicle_reference,properties.vehicles.1.vehicle_type,properties.vehicles.1.junction_location,properties.labels.accident.speed_limit,properties.labels.accident.junction_detail,properties.labels.accident.junction_control,properties.labels.accident.road_type,properties.labels.accident.road_surface_conditions,properties.labels.accident.light_conditions,properties.labels.accident.weather_conditions,properties.labels.casualties.sex_of_casualty,properties.labels.casualties.age_of_casualty,properties.labels.casualties.age_band_of_casualty,properties.labels.casualties.vehicle_reference,properties.labels.vehicles.sex_of_driver,properties.labels.vehicles.age_of_driver,properties.labels.vehicles.age_band_of_driver,properties.labels.vehicles.vehicle_reference,properties.labels.vehicles.vehicle_type,properties.labels.vehicles.generic_make_model,properties.labels.vehicles.junction_location
55,0,200801WW70000,2008,2008-01-16,Wednesday,11:58:00,30,Not at junction or within 20 metres,Data missing or out of range,-0.145974,51.477598,Fatal,Male,36,36 - 45,1,Male,36,36 - 45,1,Pedal cycle,Not at or within 20 metres of junction,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
56,0,200901TA00031,2009,2009-04-09,Thursday,09:20:00,30,Crossroads,Auto traffic signal,-0.098427,51.523149,Fatal,Female,30,26 - 35,2,Male,34,26 - 35,1,Other vehicle,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
57,0,200901TA00126,2009,2009-10-20,Tuesday,08:20:00,30,T or staggered junction,Auto traffic signal,-0.118881,51.509541,Fatal,Female,33,26 - 35,2,Male,44,36 - 45,1,Motorcycle over 500cc,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
58,0,200901TB00089,2009,2009-06-12,Friday,18:40:00,30,Roundabout,Auto traffic signal,-0.107586,51.517812,Fatal,Female,24,21 - 25,2,Male,Data missing or out of range,Data missing or out of range,1,Goods 7.5 tonnes mgw and over,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
59,0,200901TB00207,2009,2009-11-11,Wednesday,23:04:00,30,Crossroads,Auto traffic signal,-0.120941,51.519016,Fatal,Female,22,21 - 25,2,Female,23,21 - 25,1,Bus or coach (17 or more pass seats),Cleared junction or waiting/parked at junction exit,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
60,0,200901TC00237,2009,2009-09-16,Wednesday,06:30:00,30,T or staggered junction,Auto traffic signal,-0.062876,51.518431,Fatal,Female,26,26 - 35,2,Male,61,56 - 65,1,Goods over 3.5t. and under 7.5t,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
61,0,200901TD00051,2009,2009-04-08,Wednesday,14:53:00,30,Roundabout,Give way or uncontrolled,-0.100439,51.495574,Fatal,Female,37,36 - 45,2,Male,44,36 - 45,1,Goods 7.5 tonnes mgw and over,Leaving roundabout,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
62,0,200901TD00156,2009,2009-06-29,Monday,08:28:00,30,Crossroads,Auto traffic signal,-0.112532,51.481831,Fatal,Female,39,36 - 45,1,Female,39,36 - 45,1,Pedal cycle,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
63,0,201001TA00002,2010,2010-01-08,Friday,09:00:00,30,T or staggered junction,Give way or uncontrolled,-0.095059,51.527861,Fatal,Male,51,46 - 55,2,Male,64,56 - 65,1,Car,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
64,0,201001TA00042,2010,2010-04-14,Wednesday,13:00:00,30,Not at junction or within 20 metres,Data missing or out of range,-0.132154,51.516228,Fatal,Female,25,21 - 25,2,Male,60,56 - 65,1,Bus or coach (17 or more pass seats),Not at or within 20 metres of junction,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
65,0,201001TA00102,2010,2010-05-22,Saturday,11:25:00,30,T or staggered junction,Auto traffic signal,-0.131381,51.489327,Fatal,Male,48,46 - 55,2,Male,45,36 - 45,1,Other vehicle,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
66,0,201001TD00039,2010,2010-02-09,Tuesday,09:36:00,30,Crossroads,Auto traffic signal,-0.078306,51.501149,Fatal,Male,46,46 - 55,2,Male,44,36 - 45,1,Goods 7.5 tonnes mgw and over,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
67,0,201001TD00073,2010,2010-03-09,Tuesday,09:42:00,30,Crossroads,Give way or uncontrolled,-0.08576,51.50208,Fatal,Male,21,21 - 25,1,Male,21,21 - 25,1,Pedal cycle,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
68,0,201101TD00060,2011,2011-03-22,Tuesday,13:20:00,30,T or staggered junction,Give way or uncontrolled,-0.074449,51.500366,Fatal,Male,20,16 - 20,2,Male,44,36 - 45,1,Other vehicle,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
69,0,201101TD00115,2011,2011-06-21,Tuesday,08:30:00,30,T or staggered junction,Give way or uncontrolled,-0.061296,51.531894,Fatal,Male,44,36 - 45,2,Male,52,46 - 55,1,Goods 7.5 tonnes mgw and over,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
70,0,201101TD00168,2011,2011-10-03,Monday,11:42:00,30,Crossroads,Auto traffic signal,-0.122625,51.530644,Fatal,Female,24,21 - 25,1,Female,24,21 - 25,1,Pedal cycle,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
71,0,201101TD00198,2011,2011-12-02,Friday,10:07:00,30,Crossroads,Auto traffic signal,-0.079897,51.497578,Fatal,Female,22,21 - 25,2,Male,31,26 - 35,1,Goods 7.5 tonnes mgw and over,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
72,0,201201CP00045,2012,2012-02-03,Friday,13:05:00,30,Crossroads,Auto traffic signal,-0.081715,51.516043,Fatal,Male,61,56 - 65,2,Male,51,46 - 55,1,Bus or coach (17 or more pass seats),Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
73,0,201301CP00228,2013,2013-09-15,Sunday,07:55:00,30,Roundabout,Auto traffic signal,-0.076917,51.513627,Fatal,Female,21,21 - 25,2,Male,45,36 - 45,1,Other vehicle,Approaching junction or waiting/parked at junction approach,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
74,0,201301TD00037,2013,2013-04-08,Monday,08:25:00,30,Crossroads,Auto traffic signal,-0.139283,51.496917,Fatal,Female,35,26 - 35,2,Male,50,46 - 55,1,Goods 7.5 tonnes mgw and over,Entering main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
75,0,201301TD00074,2013,2013-07-05,Friday,19:18:00,30,T or staggered junction,Auto traffic signal,-0.072243,51.515079,Fatal,Female,20,16 - 20,2,Male,48,46 - 55,1,Goods 7.5 tonnes mgw and over,Approaching junction or waiting/parked at junction approach,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
76,0,201301TD00077,2013,2013-07-15,Monday,09:24:00,30,Not at junction or within 20 metres,Data missing or out of range,-0.119704,51.517558,Fatal,Male,54,46 - 55,2,Male,51,46 - 55,1,Goods over 3.5t. and under 7.5t,Not at or within 20 metres of junction,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
77,0,201301TD00137,2013,2013-11-05,Tuesday,18:42:00,30,Crossroads,Auto traffic signal,-0.121089,51.518929,Fatal,Male,69,66 - 75,2,Male,30,26 - 35,1,Bus or coach (17 or more pass seats),Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
78,0,201301TD00140,2013,2013-11-13,Wednesday,23:30:00,30,Crossroads,Auto traffic signal,-0.071808,51.515161,Fatal,Male,21,21 - 25,2,Male,49,46 - 55,1,Bus or coach (17 or more pass seats),Approaching junction or waiting/parked at junction approach,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
79,0,201301TD00144,2013,2013-11-18,Monday,12:07:00,30,Crossroads,Auto traffic signal,-0.094512,51.482259,Fatal,Male,61,56 - 65,2,Male,41,36 - 45,1,Other vehicle,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
80,0,201401CP00107,2014,2014-04-03,Thursday,10:00:00,30,Crossroads,Auto traffic signal,-0.104426,51.514075,Fatal,Male,32,26 - 35,2,Male,52,46 - 55,1,Other vehicle,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
81,0,201401CP00243,2014,2014-08-02,Saturday,19:36:00,30,Not at junction or within 20 metres,Data missing or out of range,-0.087187,51.509298,Fatal,Male,28,26 - 35,2,Male,31,26 - 35,1,Car,Not at or within 20 metres of junction,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
82,0,201401CP00297,2014,2014-10-17,Friday,11:35:00,30,Crossroads,Auto traffic signal,-0.104426,51.514075,Fatal,Female,26,26 - 35,2,Male,44,36 - 45,1,Goods 7.5 tonnes mgw and over,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
83,0,201401TD00015,2014,2014-02-25,Tuesday,18:23:00,30,T or staggered junction,Give way or uncontrolled,-0.142788,51.517026,Fatal,Male,69,66 - 75,2,Female,55,46 - 55,1,Car,Cleared junction or waiting/parked at junction exit,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
84,0,201401TD00039,2014,2014-05-13,Tuesday,16:05:00,30,Other junction,Auto traffic signal,-0.1004,51.493056,Fatal,Male,47,46 - 55,2,Male,49,46 - 55,1,Goods 7.5 tonnes mgw and over,Cleared junction or waiting/parked at junction exit,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
85,0,201401TD00047,2014,2014-06-02,Monday,06:58:00,30,T or staggered junction,Auto traffic signal,-0.123667,51.484258,Fatal,Male,52,46 - 55,2,Male,59,56 - 65,1,Other vehicle,Cleared junction or waiting/parked at junction exit,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
86,0,201401TD00122,2014,2014-12-06,Saturday,07:21:00,30,Crossroads,Give way or uncontrolled,-0.068799,51.511335,Fatal,Male,57,56 - 65,2,Male,46,46 - 55,1,Car,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
87,0,201501CP00181,2015,2015-06-22,Monday,08:59:00,30,More than 4 arms (not roundabout),Auto traffic signal,-0.089058,51.513339,Fatal,Female,26,26 - 35,2,Male,51,46 - 55,1,Goods over 3.5t. and under 7.5t,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
88,0,201501TD00027,2015,2015-02-06,Friday,21:18:00,30,T or staggered junction,Give way or uncontrolled,-0.121988,51.518637,Fatal,Female,26,26 - 35,2,Male,31,26 - 35,1,Goods over 3.5t. and under 7.5t,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
89,0,201501TD00035,2015,2015-02-19,Thursday,07:55:00,30,Crossroads,Auto traffic signal,-0.141905,51.496743,Fatal,Female,36,36 - 45,2,Male,60,56 - 65,1,Goods 7.5 tonnes mgw and over,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
90,0,201501TD00055,2015,2015-04-09,Thursday,09:33:00,30,Roundabout,Give way or uncontrolled,-0.125134,51.494677,Fatal,Female,55,46 - 55,2,Male,40,36 - 45,1,Goods 7.5 tonnes mgw and over,Approaching junction or waiting/parked at junction approach,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
91,0,201501TD00072,2015,2015-05-28,Thursday,07:58:00,30,T or staggered junction,Give way or uncontrolled,-0.093198,51.47285,Fatal,Female,32,26 - 35,2,Male,46,46 - 55,1,Goods 7.5 tonnes mgw and over,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
92,0,2016010028221,2016,2016-10-31,Monday,12:38:00,30,Other junction,Auto traffic signal,-0.161139,51.501578,Fatal,Male,21,21 - 25,1,Male,21,21 - 25,1,Pedal cycle,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
93,0,201601TD00018,2016,2016-02-12,Friday,12:20:00,30,Crossroads,Auto traffic signal,-0.081558,51.526652,Fatal,Female,44,36 - 45,1,Male,19,16 - 20,1,Pedal cycle,Cleared junction or waiting/parked at junction exit,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
94,0,201601TD00067,2016,2016-06-04,Saturday,17:00:00,30,Crossroads,Auto traffic signal,-0.114719,51.512622,Fatal,Male,45,36 - 45,1,Male,45,36 - 45,1,Pedal cycle,Cleared junction or waiting/parked at junction exit,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
95,0,201601TD00085,2016,2016-07-29,Friday,07:19:00,30,Not at junction or within 20 metres,Data missing or out of range,-0.114225,51.510635,Fatal,Male,40,36 - 45,1,Male,40,36 - 45,1,Pedal cycle,Not at or within 20 metres of junction,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
96,0,2017010016444,2017,2017-02-06,Monday,08:55:00,30,T or staggered junction,Auto traffic signal,-0.0696,51.516169,Fatal,Female,32,26 - 35,2,Male,39,36 - 45,1,Bus or coach (17 or more pass seats),Entering main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
97,0,2017010038895,2017,2017-05-22,Monday,10:43:00,30,Crossroads,Auto traffic signal,-0.184311,51.484009,Fatal,Male,57,56 - 65,2,Male,55,46 - 55,1,Goods 7.5 tonnes mgw and over,Approaching junction or waiting/parked at junction approach,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
98,0,2017010058579,2017,2017-09-12,Tuesday,16:29:00,30,T or staggered junction,Auto traffic signal,-0.14938,51.514308,Fatal,Male,30,26 - 35,1,Male,30,26 - 35,1,Pedal cycle,Cleared junction or waiting/parked at junction exit,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
99,0,2017010061138,2017,2017-09-27,Wednesday,07:15:00,30,Crossroads,Auto traffic signal,-0.149815,51.485808,Fatal,Female,36,36 - 45,2,Male,42,36 - 45,1,Goods 7.5 tonnes mgw and over,Approaching junction or waiting/parked at junction approach,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
100,0,2018010115039,2018,2018-05-30,Wednesday,09:40:00,30,Crossroads,Auto traffic signal,-0.156953,51.515956,Fatal,Male,83,Over 75,2,Male,29,26 - 35,1,Goods 7.5 tonnes mgw and over,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
101,0,2018010119169,2018,2018-07-06,Friday,00:18:00,20,Crossroads,Auto traffic signal,-0.100159,51.526471,Fatal,Male,38,36 - 45,2,Male,45,36 - 45,1,Taxi/Private hire car,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
102,0,2018010119906,2018,2018-07-09,Monday,17:40:00,30,Roundabout,Auto traffic signal,-0.148116,51.477958,Fatal,Male,34,26 - 35,2,Male,58,56 - 65,1,Goods 7.5 tonnes mgw and over,Mid Junction - on roundabout or on main road,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
103,0,2018010127131,2018,2018-08-15,Wednesday,09:30:00,20,More than 4 arms (not roundabout),Auto traffic signal,-0.12187,51.517378,Fatal,Male,67,66 - 75,2,Female,47,46 - 55,1,Goods 7.5 tonnes mgw and over,Approaching junction or waiting/parked at junction approach,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
104,0,2018010133528,2018,2018-09-19,Wednesday,11:36:00,20,Not at junction or within 20 metres,Data missing or out of range,-0.101927,51.522093,Fatal,Female,55,46 - 55,3,Male,62,56 - 65,1,Taxi/Private hire car,Not at or within 20 metres of junction,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
105,0,2020010244580,2020,2020-04-07,Tuesday,13:19:00,30,Crossroads,Auto traffic signal,-0.133654,51.526352,Fatal,Male,39,36 - 45,1,Male,39,36 - 45,1,Motorcycle over 500cc,Approaching junction or waiting/parked at junction approach,Speed limit,Junction Detail,Junction Control,Road Type,Road Surface Conditions,Light Conditions,Weather Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Reference,Vehicle Type,Generic make / model,Junction Location
